table_name,variable_name,variable_name_clean,description,data_type_r,data_type_postgres,allowed_values
metadata,NA,country,report country,character,NA,NA
metadata,NA,report_period,report month range and year,character,NA,NA
metadata,NA,report_year,report year,double,NA,NA
metadata,NA,report_months,report month range,character,NA,NA
metadata,NA,submission_info,fields pertaining to submitter contact info,character,NA,NA
metadata,NA,submission_value,values pertaining to submitter contact info,character,NA,NA
metadata,NA,submission_animal_type,submission info for terrestrial or aquatic?,character,NA,NA
diseases_present,OIE-Listed disease or NON OIE-Listed disease,disease,Present disease,character,NA,NA
diseases_present,occurrence,occurrence_code,Code indicating disease occurrence status,character,NA,NA
diseases_present,Serotype(s),serotype_s,Serotype (... = no information),character,NA,NA
diseases_present,New outbreaks,new_outbreaks,Count of new cases in the year,character,NA,NA
diseases_present,Total outbreaks,total_outbreaks,Count of total cases in the year,character,NA,NA
diseases_present,Species,species,"Code indicating species affected, line separated",character,NA,NA
diseases_present,Control Measures,control_measures,"Code indicating control measures, space separated",character,NA,NA
diseases_present,Official vaccination,official_vaccination,?,character,NA,NA
diseases_present,Measuring units,measurement_units,"Measurement unit for susceptible, cases, deaths, killed and disposed, slaughtered, and vaccination in response to outbreak counts",character,NA,NA
diseases_present,Susceptible,susceptible,Count susceptible,character,NA,NA
diseases_present,Cases,cases,Count cases,character,NA,NA
diseases_present,Deaths,deaths,Count deaths,character,NA,NA
diseases_present,Killed and disposed of,killed_and_disposed_of,Count killed/disposed,character,NA,NA
diseases_present,Slaughtered,slaughtered,Count slaughtered (for food???),character,NA,NA
diseases_present,Vaccination in response to the outbreak(s),vaccination_in_response_to_the_outbreak_s,Count vaccinations administered,character,NA,NA
diseases_present,NA,oie_listed,Whether or not the disease is oie-listed. Pre-2014 reports have tables for non-oie-listed diseases,logical,NA,NA
diseases_present,NOTE,notes,Free text notes about disease,character,NA,NA
diseases_absent,Disease,disease,Disease that is reported absent,character,NA,NA
diseases_absent,Date of last occurrence,date_of_last_occurence,Date (dd/mm/yyyy),character,NA,NA
diseases_absent,Species,species,"Code indicating species affected, line separated",character,NA,NA
diseases_absent,Control Measures,control_measures,"Code indicating control measures, space separated",character,NA,NA
diseases_absent,Official vaccination,official_vaccination,?,character,NA,NA
diseases_absent,NA,oie_listed,Whether or not the disease is oie-listed. Pre-2014 reports have tables for non-oie-listed diseases,logical,NA,NA
disease_present_detail,OIE-Listed disease,disease,Presence disease,character,NA,NA
disease_present_detail,Month,period,outbreak month or semester depending on what is reported,character,NA,NA
disease_present_detail,NA,temporal_scale,Whether the period is on a monthly or semester basis,character,NA,NA
disease_present_detail,"State, Province, etc",adm,Sub region,character,NA,NA
disease_present_detail,NA,adm_type,"""State"", ""Province"", etc",character,NA,NA
disease_present_detail,Serotype(s),serotype_s,Serotype (... = no information),character,NA,NA
disease_present_detail,New outbreaks,new_outbreaks,Count of new cases in the time period,character,NA,NA
disease_present_detail,Total outbreaks,total_outbreaks,Count of total cases in the year,character,NA,NA
disease_present_detail,Species,species,"Code indicating species affected, line separated",character,NA,NA
disease_present_detail,Family name,family_name,Taxa family,character,NA,NA
disease_present_detail,Latin name,latin_name,Taxa latin name,character,NA,NA
disease_present_detail,Measuring units,measurement_units,"Measurement unit for susceptible, cases, deaths, killed and disposed, slaughtered, and vaccination in response to outbreak counts",character,NA,NA
disease_present_detail,Susceptible,susceptible,Count susceptible,character,NA,NA
disease_present_detail,Cases,cases,Count cases,character,NA,NA
disease_present_detail,Deaths,deaths,Count deaths,character,NA,NA
disease_present_detail,Killed and disposed of,killed_and_disposed_of,Count killed/disposed,character,NA,NA
disease_present_detail,Slaughtered,slaughtered,Count slaughtered (for food???),character,NA,NA
disease_present_detail,Vaccination in response to the outbreak(s),vaccination_in_response_to_the_outbreak_s,Count vaccinations administered,character,NA,NA
disease_unreported,NA,taxa,Taxa group affected by disease,character,NA,NA
disease_unreported,NA,disease,Disease name,character,NA,NA
