table_name,variable_name,description,data_type_r,data_type_postgres,allowed_values
metadata,country,report country,character,NA,country names
metadata,report_year,report year,numeric,NA,2005 to present
metadata,report_months,report months,character,NA,"Jan-Dec, Jan-Jun, Jul-Dec"
metadata,report_period,report months and year,character,NA,NA
metadata,submission_info,"type of submission information (e.g., submitter name, address)",character,NA,"Submitted, Name of sender of the report, Position, Email, Date of report, Address, Telephone, Fax"
metadata,submission_value,value of submission info,character,NA,NA
metadata,submission_animal_type,the semester reports have separate submission info for aquatic and terrestrial,character,NA,"Aquatic and terrestrial, Terrestrial, Aquatic"
metadata,web_page,html page name (country and semester),character,NA,NA
disease_humans,country,report country,character,NA,country names
disease_humans,report_year,report year,numeric,NA,2005 to present
disease_humans,report_months,report months,character,NA,"""Jan-Dec"", ""Jan-Jun"", ""Jul-Dec"""
disease_humans,human_cases,number of human cases,character,NA,NA
disease_humans,human_deaths,number of human deaths,character,NA,NA
disease_humans,disease,disease name,character,NA,NA
disease_humans,occurrence,disease status,character,NA,"no_information_available"", ""disease_absent"", ""disease_present_number_of_cases_unknown"" , ""disease_present_number_of_cases_known"""
animal_population,country,report country,character,NA,country names
animal_population,report_year,report year,numeric,NA,2005 to present
animal_population,report_months,report months,character,NA,"""Jan-Dec"", ""Jan-Jun"", ""Jul-Dec"""
animal_population,taxa,taxa,character,NA,NA
animal_population,production,location of production,character,NA,NA
animal_population,population_count,count of animal population,character,NA,NA
animal_population,population_units,units of population count,character,NA,NA
animal_population,producers_count,count of animal producers,character,NA,NA
animal_population,producers_units,units of producers count,character,NA,"""Establishments"" ""Apiaries"""
veterinarians,country,report country,character,NA,country names
veterinarians,report_year,report year,numeric,NA,2005 to present
veterinarians,report_months,report months,character,NA,"""Jan-Dec"", ""Jan-Jun"", ""Jul-Dec"""
veterinarians,veterinarian_field,field that veterinarian works in (eg laboratory),character,NA,NA
veterinarians,public_sector_count,count of veterinarians in the public sector,character,NA,NA
veterinarians,total_count,total count of veterinarians,character,NA,NA
veterinarians,private_sector_count,count of veterinarians in the private sector,character,NA,NA
veterinarians,veterinarian_class,veterinarian or veterinarians paraprofessionals,character,NA,NA
