disease,causal_agent
bluetongue,bluetongue virus
foot and mouth disease,foot and mouth disease virus
low pathogenic avian influenza (poultry),low pathogenic avian influenza virus
highly pathogenic avian influenza,highly pathogenic avian influenza virus
glanders,burkholderia mallei
aujeszkys disease,aujeszky's disease virus
equine encephalomyelitis (eastern),eastern equine encephalomyelitis virus
ostreid herpesvirus-1,ostreid herpesvirus-1 (oshv-1)
african swine fever,african swine fever virus
brucellosis (brucella abortus),biovar 3
equine infectious anaemia,equine infectious anaemia virus
classical swine fever,classical swine fever virus
suspected ostreid herpes virus 1 (oshv1),oshv1 µvar
equine viral arteritis,equine arteritis virus
west nile fever,west nile virus
"oyster herpesvirus (oshv-1, µvar)","oshv-1, µvar"
infectious salmon anaemia,infectious salmon anaemia virus (isav)
newcastle disease,paramyxovirus
fowl typhoid,salmonella gallinarum
brucellosis (brucella suis),brucella suis
bluetongue,orbivirus
equine infectious anaemia,equine infectious anaemia
rift valley fever,phlebovirus
newcastle disease,newcastle disease virus
newcastle disease,avian paramixovirus type 1
aujeszkys disease,aujeszky disease virus
highly pathogenic avian influenza,highly pathogenic avian inluenza virus
highly pathogenic avian influenza,highly pathogenic avian influenza
enzootic bovine leukosis,enzootic bovine leukosis virus
aujeszkys disease,aujeszky disease virus
newcastle disease,paramyxovirus type 1
sheep pox and goat pox,capripoxvirus
west nile fever,west nile fever virus
contagious equine metritis,taylorella equigenitalis
brucellosis (brucella melitensis),brucella melitensis
newcastle disease,avian paramyxovirus type 1
newcastle disease,"pmv-1, virulent strain"
infection with ranavirus,ranavirus
ostreid herpesvirus-1 µ variant,oshv-1 µ var dna sequence detected in affected oysters. causation not proven.
rabies,rhabdovirus
contagious bovine pleuropneumonia,mycoplasma mycoides subsp. mycoides
bovine spongiform encephalopathy,bovine spongiform encephalopathy agent
rift valley fever,rift valley fever virus
contagious bovine pleuropneumonia,mycoplasma mycoides subsp. mycoides sc
bovine babesiosis,babesia bovis and babesia bigemina
african horse sickness,african horse sickness virus
porcine reproductive and respiratory syndrome,porcine reproductive and respiratory syndrome virus
crayfish plague (aphanomyces astaci),aphanomyces astaci
foot and mouth disease,picornavirus
epizootic ulcerative syndrome,aphanomyces invadans
newcastle disease,ppmv-1
bovine anaplasmosis,anaplasma sp.
porcine reproductive and respiratory syndrome,"porcine reproductive and respiratory syndrome virus, american strain"
anthrax,bacillus anthracis
equine piroplasmosis,equine piroplasmosis agent
newcastle disease,"newcastle disease virus, pathogenic strain"
newcastle disease,avian paramixovirus type 1
echinococcosis/hydatidosis,echinococcus multilocularis
q fever,coxiella burnetii
newcastle disease,paramixovirus type 1
infection with bonamia exitiosa,bonamia exitiosa
small hive beetle infestation (aethina tumida),aethina tumida
vesicular stomatitis,vesicular stomatitis virus
