country,country_code,year,report_period,oie_listed_disease,occurrence,serotype_s,new_outbreaks,total_outbreaks,species,control_measures,official_vaccination,measuring_units,susceptible,cases,deaths,killed_and_disposed_of,slaughtered,vaccination_in_response_to_the_outbreak_s,notes
Botswana,BWA,2010,Jan-Dec 2010,Rift Valley fever (Domestic),+,No,1,1,***,Qi Z T,...,Animals,...,...,...,...,...,...,NA
Botswana,BWA,2010,Jan-Dec 2010,Rift Valley fever (Domestic),NA,NA,NA,NA,bov,* Qf M Te GSu TSu V Cn,...,Animals,1127,21,3,0,0,13669,NA
Botswana,BWA,2010,Jan-Dec 2010,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,* Qf M Te GSu TSu V Cn,...,Animals,1689,125,95,0,0,24544,NA
Botswana,BWA,2010,Jan-Dec 2010,Rift Valley fever (Domestic),NA,NA,NA,NA,cml,* Qf M Te GSu TSu Cn,NA,Animals,...,...,...,...,...,...,NA
Botswana,BWA,2010,Jan-Dec 2010,Rift Valley fever (Domestic),NA,NA,NA,NA,o/c,* Qf M Te GSu TSu V Cn,...,Animals,...,...,...,...,...,...,NA
Botswana,BWA,2010,Jan-Dec 2010,Rift Valley fever (Domestic),NA,NA,NA,NA,ovi,* Qf M Te GSu TSu V Cn,...,Animals,306,9,5,0,0,2603,NA
Botswana,BWA,2014,Jan-Dec 2014,Rift Valley fever (Domestic),+(),No,2,2,bov,* Qf M GSu TSu Qi Cn,NA,Animals,50,2,1,0,0,...,NA
Botswana,BWA,2014,Jan-Dec 2014,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,* Qf M GSu TSu Qi Cn,NA,Animals,30,1,0,0,0,...,NA
Botswana,BWA,2014,Jan-Dec 2014,Rift Valley fever (Domestic),NA,NA,NA,NA,cml,* Qf M GSu TSu Qi,NA,Animals,...,...,...,...,...,...,NA
Botswana,BWA,2014,Jan-Dec 2014,Rift Valley fever (Domestic),NA,NA,NA,NA,o/c,* Qf M GSu TSu Qi Cn,NA,Animals,...,...,...,...,...,...,NA
Botswana,BWA,2014,Jan-Dec 2014,Rift Valley fever (Domestic),NA,NA,NA,NA,ovi,* Qf M GSu TSu Qi Cn,NA,Animals,...,...,...,...,...,...,NA
Botswana,BWA,2017,Jan-Dec 2017,Rift Valley fever (Domestic),+(),No,1,1,bov,* Qf M GSu TSu Qi Cn,NA,Animals,15,1,0,0,0,0,NA
Botswana,BWA,2017,Jan-Dec 2017,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,* Qf M GSu TSu Qi Cn,NA,Animals,...,...,...,...,...,...,NA
Botswana,BWA,2017,Jan-Dec 2017,Rift Valley fever (Domestic),NA,NA,NA,NA,cml,* Qf M GSu TSu Qi,NA,Animals,...,...,...,...,...,...,NA
Botswana,BWA,2017,Jan-Dec 2017,Rift Valley fever (Domestic),NA,NA,NA,NA,o/c,* Qf M GSu Qi Cn,NA,Animals,...,...,...,...,...,...,NA
Botswana,BWA,2017,Jan-Dec 2017,Rift Valley fever (Domestic),NA,NA,NA,NA,ovi,* Qf M GSu TSu Qi Cn,NA,Animals,...,...,...,...,...,...,NA
Central African Republic,CAF,2007,Jan-Dec 2007,Rift Valley fever,+?,NA,...,...,***,*,...,Animals,...,...,...,...,...,...,NA
Central African Republic,CAF,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,bov,Qf GSu,NA,Animals,...,...,...,...,...,...,NA
Central African Republic,CAF,2008,Jan-Dec 2008,Rift Valley fever,+?,NA,...,...,***,*,...,Animals,...,...,...,...,...,...,NA
Central African Republic,CAF,2008,Jan-Dec 2008,Rift Valley fever,NA,NA,NA,NA,bov,Qf GSu,NA,Animals,...,...,...,...,...,...,NA
Central African Republic,CAF,2011,Jan-Dec 2011,Rift Valley fever (Domestic),+,NA,...,...,bov,* Te GSu,NA,Animals,...,...,...,...,...,...,NA
Central African Republic,CAF,2011,Jan-Dec 2011,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,* Te GSu,NA,Animals,...,...,...,...,...,...,NA
Central African Republic,CAF,2017,Jan-Dec 2017,Rift Valley fever (Domestic and Wild),?,NA,...,...,bov,* Te GSu,NA,Animals,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,2017,Jan-Dec 2017,Rift Valley fever (Domestic and Wild),NA,NA,NA,NA,cap,* Te GSu,NA,Animals,NA,NA,NA,NA,NA,NA,NA
Cameroon,CMR,2008,Jan-Dec 2008,Rift Valley fever,?,...,...,...,NA,NA,NA,Animals,...,...,...,...,...,...,NA
Cameroon,CMR,2009,Jan-Dec 2009,Rift Valley fever (Domestic),+?,...,...,...,NA,NA,NA,Animals,...,...,...,...,...,...,NA
Cameroon,CMR,2009,Jan-Dec 2009,Rift Valley fever (Wild),?,...,...,...,NA,NA,NA,Animals,...,...,...,...,...,...,NA
Cameroon,CMR,2010,Jan-Dec 2010,Rift Valley fever (Domestic and Wild),?,...,...,...,NA,NA,NA,Animals,...,...,...,...,...,...,NA
Cameroon,CMR,2011,Jan-Dec 2011,Rift Valley fever (Domestic),?,...,...,...,NA,NA,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2007,Jan-Dec 2007,Rift Valley fever,+,NA,...,...,bov,* Qf GSu Qi Sp Z T,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,cap,* Qf GSu T,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,o/c,* Qf GSu T,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,ovi,* Qf GSu T,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2008,Jan-Dec 2008,Rift Valley fever,+(),NA,...,...,bov,* Qf GSu Qi Sp Z T,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2008,Jan-Dec 2008,Rift Valley fever,NA,NA,NA,NA,cap,* Qf GSu T,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2008,Jan-Dec 2008,Rift Valley fever,NA,NA,NA,NA,o/c,* Qf GSu T,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2008,Jan-Dec 2008,Rift Valley fever,NA,NA,NA,NA,ovi,* Qf GSu T,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2009,Jan-Dec 2009,Rift Valley fever (Domestic),+(),NA,...,...,bov,* Te,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2010,Jan-Dec 2010,Rift Valley fever (Domestic),+(),NA,...,...,bov,* Te,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2011,Jan-Dec 2011,Rift Valley fever (Domestic),+(),NA,...,...,bov,* Qf M Te,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2011,Jan-Dec 2011,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,* Qf M,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2012,Jan-Dec 2012,Rift Valley fever (Domestic),+(),NA,...,...,bov,* Qf M Te,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2012,Jan-Dec 2012,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,* Qf M,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2013,Jan-Dec 2013,Rift Valley fever (Domestic),+,NA,...,...,bov,* Qf M Te,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2013,Jan-Dec 2013,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,* Qf M,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2015,Jan-Dec 2015,Rift Valley fever (Domestic),+(),No,4,4,bov,* Qf M GSu,NA,Animals,220,22,0,0,0,0,NA
Congo (Dem. Rep. of the),COD,2015,Jan-Dec 2015,Rift Valley fever (Domestic),NA,NA,NA,NA,buf,* Qf GSu,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2015,Jan-Dec 2015,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,* Qf M GSu,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2015,Jan-Dec 2015,Rift Valley fever (Domestic),NA,NA,NA,NA,o/c,* Qf M GSu,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2015,Jan-Dec 2015,Rift Valley fever (Domestic),NA,NA,NA,NA,ovi,* Qf M GSu,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2016,Jan-Dec 2016,Rift Valley fever (Domestic),?(),NA,...,...,bov,* Qf TSu Qi,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2016,Jan-Dec 2016,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,TSu,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2016,Jan-Dec 2016,Rift Valley fever (Domestic),NA,NA,NA,NA,o/c,TSu,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2016,Jan-Dec 2016,Rift Valley fever (Domestic),NA,NA,NA,NA,ovi,TSu,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2017,Jan-Dec 2017,Rift Valley fever (Domestic),?(),NA,...,...,bov,* Qf TSu,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2017,Jan-Dec 2017,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,TSu,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2017,Jan-Dec 2017,Rift Valley fever (Domestic),NA,NA,NA,NA,o/c,TSu,NA,Animals,...,...,...,...,...,...,NA
Congo (Dem. Rep. of the),COD,2017,Jan-Dec 2017,Rift Valley fever (Domestic),NA,NA,NA,NA,ovi,TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2008,Jan-Dec 2008,Rift Valley fever,+?,No,...,...,bov,* M Te GSu TSu Qi,NA,Animals,144,50,0,0,0,0,NA
Comoros,COM,2008,Jan-Dec 2008,Rift Valley fever,NA,NA,NA,NA,cap,* M Te GSu TSu Qi,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2009,Jan-Dec 2009,Rift Valley fever (Domestic),+?,No,...,...,bov,* Qf M Te TSu,NA,Animals,518,173,...,...,...,...,NA
Comoros,COM,2009,Jan-Dec 2009,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,* Qf M Te TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2009,Jan-Dec 2009,Rift Valley fever (Domestic),NA,NA,NA,NA,ovi,* Qf M Te TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2009,Jan-Dec 2009,Rift Valley fever (Domestic),NA,NA,NA,NA,o/c,NA,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2010,Jan-Dec 2010,Rift Valley fever (Domestic),+?,No,18,18,bov,* Qf M Te TSu,NA,Animals,561,16,0,0,0,0,NA
Comoros,COM,2010,Jan-Dec 2010,Rift Valley fever (Domestic),NA,NA,NA,NA,cap,* Qf M Te TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2010,Jan-Dec 2010,Rift Valley fever (Domestic),NA,NA,NA,NA,o/c,* Qf M Te TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2010,Jan-Dec 2010,Rift Valley fever (Domestic),NA,NA,NA,NA,ovi,* Qf M Te TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2011,Jan-Dec 2011,Rift Valley fever (Domestic and Wild),+(),No,...,...,bov,* Qf M Te TSu,NA,Animals,200,...,...,...,...,...,NA
Comoros,COM,2011,Jan-Dec 2011,Rift Valley fever (Domestic and Wild),NA,NA,NA,NA,cap,* Qf M Te TSu,NA,Animals,180,...,...,...,...,...,NA
Comoros,COM,2011,Jan-Dec 2011,Rift Valley fever (Domestic and Wild),NA,NA,NA,NA,o/c,* Qf M Te TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2011,Jan-Dec 2011,Rift Valley fever (Domestic and Wild),NA,NA,NA,NA,ovi,* Qf M Te TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2015,Jan-Dec 2015,Rift Valley fever (Domestic and Wild),+,No,...,...,bov,* M GSu TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2015,Jan-Dec 2015,Rift Valley fever (Domestic and Wild),NA,NA,NA,NA,cap,* M GSu TSu,NA,Animals,...,58,5,...,...,...,NA
Comoros,COM,2015,Jan-Dec 2015,Rift Valley fever (Domestic and Wild),NA,NA,NA,NA,ovi,* M GSu TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2016,Jan-Dec 2016,Rift Valley fever (Domestic and Wild),+,NA,...,...,bov,* Qf M GSu TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2016,Jan-Dec 2016,Rift Valley fever (Domestic and Wild),NA,NA,NA,NA,cap,* Qf M GSu TSu,NA,Animals,...,...,...,...,...,...,NA
Comoros,COM,2016,Jan-Dec 2016,Rift Valley fever (Domestic and Wild),NA,NA,NA,NA,ovi,* Qf M GSu TSu,NA,Animals,...,...,...,...,...,...,NA
Ethiopia,ETH,2006,Jan-Dec 2006,Rift Valley fever,+,NA,...,...,o/c,* M Te GSu,NA,Animals,...,...,...,...,...,...,NA
Ethiopia,ETH,2006,Jan-Dec 2006,Rift Valley fever,NA,NA,NA,NA,bov,* M Te GSu,NA,Animals,...,...,...,...,...,...,NA
Guinea,GIN,2005,Jan-Dec 2005,Rift Valley fever,+?,...,...,...,***,* Qf,...,Animals,...,...,...,...,...,...,NA
Guinea,GIN,2006,Jan-Dec 2006,Rift Valley fever,+?,No,2,2,***,* Qf Te GSu,...,Animals,...,...,...,...,...,...,NA
Guinea,GIN,2006,Jan-Dec 2006,Rift Valley fever,NA,NA,NA,NA,o/c,NA,NA,Animals,252,6,0,0,0,0,NA
Equatorial Guinea,GNQ,2009,Jan-Dec 2009,Rift Valley fever (Domestic and Wild),?,...,...,...,***,*,...,Animals,...,...,...,...,...,...,NA
Equatorial Guinea,GNQ,2010,Jan-Dec 2010,Rift Valley fever (Domestic and Wild),?,...,...,...,***,*,...,Animals,...,...,...,...,...,...,NA
Equatorial Guinea,GNQ,2011,Jan-Dec 2011,Rift Valley fever (Domestic and Wild),?,...,...,...,***,*,...,Animals,...,...,...,...,...,...,NA
Equatorial Guinea,GNQ,2012,Jan-Dec 2012,Rift Valley fever (Domestic),?,...,...,...,***,*,...,Animals,...,...,...,...,...,...,NA
Equatorial Guinea,GNQ,2013,Jan-Dec 2013,Rift Valley fever (Domestic),?,...,...,...,***,*,...,Animals,...,...,...,...,...,...,NA
Kenya,KEN,2006,Jan-Dec 2006,Rift Valley fever,+,No,21,21,bov,NA,NA,Animals,4000,500,30,0,0,...,NA
Kenya,KEN,2006,Jan-Dec 2006,Rift Valley fever,NA,NA,NA,NA,cap,NA,NA,Animals,10000,1500,15,0,0,...,NA
Kenya,KEN,2006,Jan-Dec 2006,Rift Valley fever,NA,NA,NA,NA,cml,NA,NA,Animals,4000,501,5,0,0,...,NA
Kenya,KEN,2006,Jan-Dec 2006,Rift Valley fever,NA,NA,NA,NA,o/c,NA,NA,Animals,...,201,...,...,...,...,NA
Kenya,KEN,2006,Jan-Dec 2006,Rift Valley fever,NA,NA,NA,NA,ovi,NA,NA,Animals,9000,1500,105,0,0,...,NA
Kenya,KEN,2007,Jan-Dec 2007,Rift Valley fever,+,No,15,37,***,* Qf Te GSu TSu Qi Z V T,...,Animals,...,...,...,...,...,...,NA
Kenya,KEN,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,o/c,NA,...,Animals,...,234,...,...,...,...,NA
Kenya,KEN,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,ovi,NA,...,Animals,...,...,...,...,...,...,NA
Kenya,KEN,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,bov,NA,20000,Animals,...,...,...,...,...,...,NA
Kenya,KEN,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,buf,NA,...,Animals,...,...,...,...,...,...,NA
Kenya,KEN,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,cap,NA,...,Animals,...,...,...,...,...,...,NA
Kenya,KEN,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,cml,NA,...,Animals,...,...,...,...,...,...,NA
Kenya,KEN,2007,Jan-Dec 2007,Rift Valley fever,NA,NA,NA,NA,fau,NA,...,Animals,...,...,...,...,...,...,NA
Madagascar,MDG,2005,Jan-Dec 2005,Rift Valley fever,+?,...,...,...,***,* M,...,Animals,...,...,...,...,...,...,NA
Madagascar,MDG,2006,Jan-Dec 2006,Rift Valley fever,+?,...,...,...,***,* M,...,Animals,...,...,...,...,...,...,NA
